instaID,lat,long,URL
1137143853083169722_2267305675,37.8044,-122.271,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/sh0.08/e35/12317614_1501252546872224_2015311909_n.jpg
1137135845629619471_829906914,37.8128014,-122.2467194,https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/12338663_1005111962880675_1135667412_n.jpg
1137060270479437018_806402234,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12362200_1719360654964139_715063852_n.jpg
1137027798000428440_194350984,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12353184_1058367010840285_1006594280_n.jpg
1136774877628166401_1536883,37.803198381,-122.26849859,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12338911_1034883256564575_1457291938_n.jpg
1136740915059391794_11209382,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/s640x640/sh0.08/e35/12357592_512690035557202_259136724_n.jpg
1136686432120530316_481965824,37.8044,-122.271,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/sh0.08/e35/12354112_518850258277491_519342054_n.jpg
1136665935009548233_1556740512,37.822,-122.231,https://scontent.cdninstagram.com/hphotos-xat1/t51.2885-15/s640x640/sh0.08/e35/12353343_572704096214994_97278221_n.jpg
1136664762613747003_144539850,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/s640x640/sh0.08/e35/12354075_201336726869495_306894063_n.jpg
1136630087502324400_47431591,37.8009605,-122.274231,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/s640x640/sh0.08/e35/11264814_1487113991596945_699534892_n.jpg
1136629651261863832_2033817284,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/s640x640/sh0.08/e35/12301238_1250330908326868_347363005_n.jpg
1136615185645123569_36388148,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12362071_802545089868976_1164667297_n.jpg
1136586489071684171_1821747065,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12362241_553050821518572_423351760_n.jpg
1136574131270327446_1648069358,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12353812_1704603366453603_777661255_n.jpg
1136547000051269651_2236291503,37.809049435,-122.258073875,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/sh0.08/e35/12357350_1645462639054332_1499849771_n.jpg
1136526391819628017_261869346,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/s640x640/sh0.08/e35/12317450_1741382162749371_1519381328_n.jpg
1136520041533093719_36388148,37.802250065,-122.261360178,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/s640x640/sh0.08/e35/12331883_1535328013453073_1119209762_n.jpg
1136485633097075345_186381409,37.808789437,-122.249825919,https://scontent.cdninstagram.com/hphotos-xfa1/t50.2886-16/12352710_1531017283881572_717991344_n.mp4
1136483000793229054_481965824,37.8044,-122.271,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/s640x640/sh0.08/e35/12317852_568636366620937_563873656_n.jpg
1136471444746878448_43680206,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/s640x640/sh0.08/e35/12317527_980011788724788_874714236_n.jpg
1136387654905307491_19594423,37.87070307,-122.254935582,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/12357862_1660952694157635_627859220_n.jpg
1136382456230990312_31172195,37.8044,-122.271,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/s640x640/sh0.08/e35/12357387_195415067464169_1962595634_n.jpg
1136306529194927452_1987851976,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12328333_514756562033104_566684747_n.jpg
1136295800323109060_2243045443,37.805167969,-122.257595129,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/s640x640/sh0.08/e35/12331792_933009910126218_237406557_n.jpg
1136083454608469302_806402234,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12362621_886069588173785_284559288_n.jpg
1136043085170847778_16327411,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/sh0.08/e35/12317481_479137552257071_897945719_n.jpg
1135978459639304149_144539850,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/12357729_500946633416931_1869841823_n.jpg
1135846225053295395_19594423,37.87070307,-122.254935582,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/12357311_465378783670380_2140068415_n.jpg
1135827569590929460_198526025,37.8041,-122.2726,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/sh0.08/e35/12331332_1733484800221606_982210132_n.jpg
1135818392396269193_1021972208,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12345760_484588611724821_2054955319_n.jpg
1135718676570039109_8578831,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s640x640/sh0.08/e35/12353306_813573908788329_1708423089_n.jpg
1135713731398481581_2018150652,37.808854581,-122.250552121,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12357290_1065357833495953_95018809_n.jpg
